20 Undirected Graphs in unG2.txt.

** G1: |V|=100, V={0..99}
   Edges (u, v) E = { 
      ( 5, 31)
      ( 8, 86)
      (21, 89)
      (29, 63)
      (32, 87)
      (41, 88)
      (67, 78)
      (71, 91)
      (73, 79)
      (89, 91) }
-------------------------

** G2: |V|=100, V={0..99}
   Edges (u, v) E = { 
      ( 1, 18)
      ( 2, 76)
      ( 7, 51)
      ( 9, 22)
      (13, 87)
      (13, 97)
      (31, 56)
      (65, 90)
      (66, 71)
      (82, 98) }
-------------------------

** G3: |V|=100, V={0..99}
   Edges (u, v) E = { 
      ( 3,  8)
      (11, 73)
      (12, 50)
      (23, 46)
      (36, 83)
      (41, 47)
      (49, 59)
      (64, 83)
      (65, 76)
      (85, 96) }
-------------------------

** G4: |V|=100, V={0..99}
   Edges (u, v) E = { 
      ( 7, 34)
      ( 8, 92)
      ( 9, 44)
      (14, 96)
      (18, 88)
      (19, 25)
      (44, 96)
      (45, 73)
      (49, 65)
      (54, 81)
      (92, 96) }
-------------------------

** G5: |V|=100, V={0..99}
   Edges (u, v) E = { 
      ( 5, 22)
      (15, 27)
      (39, 77)
      (47, 82)
      (53, 60)
      (58, 99)
      (60, 61)
      (68, 93)
      (83, 98)
      (84, 98) }
-------------------------

** G6: |V|=110, V={0..109}
   Edges (u, v) E = { 
      ( 6, 68)
      ( 7, 45)
      (20, 26)
      (21, 22)
      (26, 83)
      (31, 52)
      (52, 74)
      (53, 82)
      (58, 107)
      (59, 83)
      (82, 86)
      (95, 99) }
-------------------------

** G7: |V|=110, V={0..109}
   Edges (u, v) E = { 
      ( 1, 54)
      ( 5, 105)
      ( 7, 30)
      ( 8, 27)
      ( 8, 28)
      (12, 40)
      (18, 91)
      (39, 51)
      (39, 75)
      (41, 87)
      (43, 73)
      (71, 95) }
-------------------------

** G8: |V|=110, V={0..109}
   Edges (u, v) E = { 
      ( 1, 27)
      ( 8, 74)
      (17, 91)
      (18, 91)
      (21, 57)
      (23, 44)
      (31, 66)
      (35, 67)
      (67, 96)
      (68, 85)
      (71, 87)
      (75, 83) }
-------------------------

** G9: |V|=110, V={0..109}
   Edges (u, v) E = { 
      ( 1, 34)
      ( 4, 11)
      (10, 21)
      (11, 78)
      (22, 77)
      (22, 93)
      (28, 49)
      (33, 91)
      (45, 87)
      (46, 53)
      (61, 99)
      (68, 76) }
-------------------------

** G10: |V|=110, V={0..109}
   Edges (u, v) E = { 
      ( 0, 105)
      (16, 91)
      (21, 40)
      (27, 61)
      (27, 73)
      (30, 31)
      (42, 99)
      (43, 76)
      (46, 82)
      (50, 99)
      (50, 102)
      (55, 84)
      (79, 96) }
-------------------------

** G11: |V|=120, V={0..119}
   Edges (u, v) E = { 
      (11, 98)
      (14, 17)
      (17, 77)
      (23, 93)
      (25, 113)
      (28, 34)
      (39, 102)
      (42, 99)
      (45, 93)
      (47, 77)
      (51, 99)
      (52, 116)
      (59, 110)
      (87, 102) }
-------------------------

** G12: |V|=120, V={0..119}
   Edges (u, v) E = { 
      ( 2, 55)
      ( 5, 21)
      ( 9, 65)
      (14, 102)
      (18, 40)
      (24, 65)
      (25, 65)
      (28, 95)
      (35, 101)
      (53, 102)
      (54, 108)
      (62, 108)
      (83, 109)
      (88, 106) }
-------------------------

** G13: |V|=120, V={0..119}
   Edges (u, v) E = { 
      ( 1,  9)
      ( 3, 110)
      ( 5, 39)
      ( 7, 43)
      ( 8, 92)
      (12, 20)
      (17, 116)
      (27, 116)
      (54, 95)
      (60, 97)
      (64, 74)
      (68, 85)
      (81, 86)
      (87, 106) }
-------------------------

** G14: |V|=120, V={0..119}
   Edges (u, v) E = { 
      ( 4, 99)
      ( 5, 95)
      ( 6, 79)
      ( 9, 96)
      (11, 71)
      (11, 72)
      (12, 73)
      (13, 53)
      (20, 73)
      (25, 47)
      (35, 105)
      (39, 101)
      (49, 90)
      (76, 116) }
-------------------------

** G15: |V|=120, V={0..119}
   Edges (u, v) E = { 
      (14, 29)
      (15, 75)
      (18, 59)
      (21, 97)
      (23, 75)
      (39, 45)
      (40, 87)
      (48, 115)
      (54, 94)
      (58, 111)
      (59, 76)
      (63, 77)
      (69, 84)
      (83, 107)
      (106, 109) }
-------------------------

** G16: |V|=130, V={0..129}
   Edges (u, v) E = { 
      ( 0, 15)
      ( 1, 119)
      (10, 18)
      (11, 89)
      (12, 105)
      (15, 87)
      (18, 116)
      (29, 88)
      (30, 123)
      (31, 120)
      (34, 59)
      (48, 105)
      (58, 109)
      (66, 75)
      (77, 78)
      (77, 90) }
-------------------------

** G17: |V|=130, V={0..129}
   Edges (u, v) E = { 
      ( 1, 51)
      ( 2, 58)
      ( 3, 28)
      ( 9, 27)
      ( 9, 29)
      (10, 56)
      (17, 22)
      (19, 44)
      (20, 90)
      (29, 88)
      (34, 114)
      (45, 71)
      (49, 120)
      (61, 63)
      (79, 115)
      (110, 117) }
-------------------------

** G18: |V|=130, V={0..129}
   Edges (u, v) E = { 
      ( 1, 112)
      (13, 104)
      (23, 117)
      (24, 115)
      (27, 72)
      (39, 129)
      (47, 93)
      (51, 62)
      (51, 66)
      (51, 113)
      (59, 128)
      (63, 82)
      (83, 109)
      (104, 120)
      (104, 121)
      (120, 129) }
-------------------------

** G19: |V|=130, V={0..129}
   Edges (u, v) E = { 
      ( 3, 121)
      (10, 28)
      (12, 124)
      (19, 24)
      (28, 86)
      (34, 88)
      (37, 120)
      (45, 126)
      (47, 102)
      (47, 104)
      (52, 112)
      (56, 72)
      (67, 113)
      (76, 114)
      (82, 122)
      (100, 101) }
-------------------------

** G20: |V|=130, V={0..129}
   Edges (u, v) E = { 
      ( 0, 57)
      ( 1, 83)
      ( 7, 87)
      ( 9, 42)
      (12, 80)
      (12, 117)
      (16, 53)
      (19, 54)
      (27, 51)
      (27, 120)
      (33, 47)
      (39, 63)
      (51, 75)
      (59, 60)
      (75, 107)
      (79, 123)
      (84, 124) }
-------------------------

