2 Undirected Graphs in unG4.txt.

** G1: |V|=2000, V={0..1999}
   Edges (u, v) E = { 
      ( 0, 785)
      ( 2, 1415)
      ( 3, 1125)
      ( 3, 1581)
      ( 4, 497)
      ( 4, 685)
      ( 4, 926)
      ( 4, 1937)
      ( 6, 1549)
      ( 7, 531)
      ( 7, 1246)
      ( 7, 1441)
      ( 7, 1690)
      ( 8, 531)
      ( 9, 464)
      (10, 195)
      (10, 689)
      (10, 1122)
      (11, 154)
      (12, 1931)
      (13, 239)
      (13, 1203)
      (14, 1191)
      (14, 1643)
      (15, 68)
      (15, 520)
      (15, 688)
      (15, 1579)
      (16, 870)
      (16, 1584)
      (17, 305)
      (18, 772)
      (19, 551)
      (19, 1449)
      (20, 551)
      (20, 1763)
      (20, 1914)
      (21, 591)
      (21, 697)
      (21, 746)
      (21, 1015)
      (21, 1578)
      (22, 855)
      (22, 1505)
      (23, 924)
      (23, 1410)
      (25, 410)
      (25, 1628)
      (26, 1362)
      (26, 1668)
      (27, 1200)
      (27, 1995)
      (28, 930)
      (28, 1110)
      (29, 785)
      (31, 235)
      (31, 379)
      (31, 1786)
      (32, 83)
      (32, 706)
      (32, 1483)
      (33, 836)
      (34, 590)
      (34, 787)
      (35, 181)
      (36, 57)
      (36, 709)
      (36, 896)
      (38, 347)
      (38, 432)
      (39, 93)
      (39, 1485)
      (39, 1891)
      (40, 985)
      (41, 378)
      (41, 937)
      (41, 1012)
      (41, 1071)
      (44, 63)
      (44, 1336)
      (44, 1621)
      (45, 84)
      (45, 127)
      (45, 409)
      (45, 607)
      (46, 647)
      (46, 1662)
      (46, 1824)
      (47, 1696)
      (47, 1945)
      (47, 1990)
      (48, 408)
      (49, 620)
      (49, 1093)
      (50, 448)
      (50, 721)
      (50, 807)
      (50, 1972)
      (51, 1627)
      (51, 1728)
      (52, 1066)
      (52, 1504)
      (52, 1518)
      (52, 1695)
      (53, 179)
      (53, 709)
      (53, 910)
      (54, 83)
      (54, 624)
      (54, 1230)
      (55, 1467)
      (55, 1817)
      (56, 1509)
      (58, 601)
      (58, 1731)
      (58, 1895)
      (59, 1047)
      (60, 1141)
      (60, 1543)
      (61, 404)
      (61, 525)
      (61, 1841)
      (61, 1952)
      (62, 63)
      (62, 269)
      (62, 1004)
      (62, 1637)
      (64, 1116)
      (64, 1898)
      (66, 456)
      (66, 846)
      (66, 1982)
      (67, 627)
      (67, 1296)
      (68, 302)
      (69, 218)
      (69, 481)
      (69, 765)
      (70, 1444)
      (70, 1517)
      (72, 1018)
      (73, 682)
      (73, 1190)
      (73, 1968)
      (74, 541)
      (74, 670)
      (74, 742)
      (74, 1151)
      (74, 1247)
      (74, 1279)
      (74, 1634)
      (75, 1521)
      (76, 946)
      (76, 1301)
      (76, 1354)
      (76, 1574)
      (76, 1684)
      (76, 1855)
      (78, 385)
      (78, 426)
      (78, 1462)
      (78, 1973)
      (79, 978)
      (79, 1630)
      (80, 185)
      (80, 907)
      (80, 1918)
      (83, 1041)
      (84, 674)
      (84, 1091)
      (84, 1558)
      (85, 429)
      (87, 449)
      (87, 679)
      (87, 1215)
      (87, 1541)
      (87, 1744)
      (88, 1168)
      (88, 1589)
      (89, 275)
      (89, 329)
      (89, 1489)
      (90, 716)
      (91, 322)
      (91, 907)
      (92, 747)
      (92, 1993)
      (94, 1929)
      (94, 1937)
      (95, 209)
      (95, 1307)
      (95, 1743)
      (98, 109)
      (98, 312)
      (98, 1167)
      (99, 307)
      (99, 440)
      (99, 1125)
      (102, 744)
      (102, 922)
      (102, 1447)
      (102, 1531)
      (103, 405)
      (103, 939)
      (103, 1113)
      (104, 411)
      (104, 1645)
      (104, 1798)
      (104, 1889)
      (105, 1628)
      (106, 318)
      (106, 410)
      (106, 431)
      (106, 563)
      (106, 817)
      (107, 676)
      (107, 801)
      (107, 1873)
      (108, 1427)
      (108, 1504)
      (109, 1699)
      (110, 1506)
      (111, 1761)
      (111, 1789)
      (112, 213)
      (112, 915)
      (113, 1005)
      (114, 1768)
      (115, 896)
      (115, 1061)
      (116, 145)
      (116, 798)
      (116, 1589)
      (116, 1951)
      (117, 169)
      (117, 1731)
      (118, 211)
      (119, 188)
      (119, 343)
      (119, 1454)
      (120, 199)
      (120, 286)
      (120, 969)
      (121, 188)
      (121, 783)
      (122, 179)
      (122, 1173)
      (122, 1366)
      (123, 829)
      (124, 1368)
      (124, 1632)
      (125, 979)
      (125, 1761)
      (127, 1111)
      (127, 1354)
      (127, 1702)
      (128, 218)
      (129, 965)
      (129, 1085)
      (129, 1257)
      (129, 1761)
      (129, 1976)
      (131, 391)
      (131, 1051)
      (131, 1724)
      (132, 843)
      (132, 1355)
      (134, 1412)
      (134, 1511)
      (135, 797)
      (135, 819)
      (135, 1112)
      (135, 1720)
      (136, 336)
      (136, 420)
      (136, 776)
      (136, 1181)
      (136, 1260)
      (137, 469)
      (138, 989)
      (139, 872)
      (139, 955)
      (139, 1055)
      (139, 1964)
      (139, 1970)
      (140, 1459)
      (140, 1974)
      (141, 1735)
      (142, 212)
      (142, 796)
      (143, 189)
      (144, 1093)
      (144, 1914)
      (146, 649)
      (146, 681)
      (146, 1075)
      (146, 1876)
      (147, 1094)
      (147, 1196)
      (147, 1950)
      (148, 315)
      (148, 1449)
      (149, 196)
      (150, 250)
      (150, 812)
      (150, 928)
      (150, 1571)
      (152, 1716)
      (153, 1081)
      (153, 1668)
      (154, 860)
      (156, 1681)
      (157, 1159)
      (157, 1572)
      (158, 572)
      (158, 793)
      (160, 410)
      (160, 1252)
      (161, 1473)
